        target addrress,              CountSeen,       CountLoopInvoked,              MeanTaken,              DiffCount,           routine name,        routine address,routine invocations count
                     0x40ec7c,                  43368,                   7228,                      6,                      0,          sendMTFValues,                 40ceee,                      1
                     0x409fde,                  30170,                      7,                   4310,                      0,           fallbackSort,                 409c33,                      1
                     0x40a2cb,                  17247,                   1383,                     12,                    991,           fallbackSort,                 409c33,                      1
                     0x40cd45,                  14381,                   1033,                     13,                    898,      generateMTFValues,                 40cb2c,                      1
                     0x4181dd,                  13133,                   1580,                      8,                    571,  BZ2_hbMakeCodeLengths,                 417d54,                     20
                     0x40a18b,                   7480,                    327,                     22,                    319,           fallbackSort,                 409c33,                      1
                     0x40ec59,                   7376,                    148,                     49,                      7,          sendMTFValues,                 40ceee,                      1
                     0x41034b,                   7376,                    148,                     49,                      7,          sendMTFValues,                 40ceee,                      1
                     0x409550,                   6821,                   3933,                      1,                   2023,     fallbackSimpleSort,                 4093f0,                   1847
                     0x409513,                   6400,                   1744,                      3,                   1227,     fallbackSimpleSort,                 4093f0,                   1847
                     0x40567e,                   5106,                      1,                   5106,                      0,  copy_input_until_stop,                 40565c,                      3
                     0x40a098,                   4622,                    195,                     23,                    184,           fallbackSort,                 409c33,                      1
                     0x40a3e3,                   4431,                   4309,                      1,                    148,           fallbackSort,                 409c33,                      1
                     0x409d70,                   4310,                      1,                   4310,                      0,           fallbackSort,                 409c33,                      1
                     0x409cc2,                   4310,                      1,                   4310,                      0,           fallbackSort,                 409c33,                      1
                     0x40a3e9,                   4310,                      1,                   4310,                      0,           fallbackSort,                 409c33,                      1
                     0x40cc08,                   4310,                      1,                   4310,                      0,      generateMTFValues,                 40cb2c,                      1
                     0x40964d,                   4028,                   1383,                      2,                    436,         fallbackQSort3,                 4095ec,                   1383
                     0x40c95d,                   3735,                   2648,                      1,                   1526,                    bsW,                 40c94c,                   2648
                     0x40a22e,                   3431,                    327,                     10,                    309,           fallbackSort,                 409c33,                      1
                     0x417e55,                   3169,                   1580,                      2,                   1013,  BZ2_hbMakeCodeLengths,                 417d54,                     20
                     0x4182c2,                   2560,                     32,                     80,                      0,      BZ2_hbAssignCodes,                 418294,                      5
                     0x4053a3,                   2400,                    376,                      6,                    304,      add_pair_to_block,                 405388,                    376
                     0x409ad8,                   2398,                    631,                      3,                    372,         fallbackQSort3,                 4095ec,                   1383
                     0x7fa429435f40,                   2328,                   2325,                      1,                      6,               _dl_addr,           7fa429435e40,                      1
                     0x7fa429435f00,                   2328,                   1412,                      1,                    935,               _dl_addr,           7fa429435e40,                      1
                     0x7fa429435f40,                   2325,                    659,                      3,                    535,               _dl_addr,           7fa429435e40,                      1
                     0x409a20,                   2247,                    631,                      3,                    384,         fallbackQSort3,                 4095ec,                   1383
                     0x409431,                   2052,                    500,                      4,                    390,     fallbackSimpleSort,                 4093f0,                   1847
                     0x40a139,                   1857,                    195,                      9,                    174,           fallbackSort,                 409c33,                      1
                     0x41202a,                   1844,                     37,                     49,                      1,          sendMTFValues,                 40ceee,                      1
                     0x418151,                   1723,                   1560,                      1,                    254,  BZ2_hbMakeCodeLengths,                 417d54,                     20
                     0x40946e,                   1648,                   1017,                      1,                    488,     fallbackSimpleSort,                 4093f0,                   1847
                     0x417e1b,                   1600,                     20,                     80,                      0,  BZ2_hbMakeCodeLengths,                 417d54,                     20
                     0x4181ce,                   1600,                     20,                     80,                      0,  BZ2_hbMakeCodeLengths,                 417d54,                     20
                     0x40d289,                   1600,                     20,                     80,                      0,          sendMTFValues,                 40ceee,                      1
                     0x417d82,                   1600,                     20,                     80,                      0,  BZ2_hbMakeCodeLengths,                 417d54,                     20
                     0x417ed7,                   1580,                     20,                     79,                      0,  BZ2_hbMakeCodeLengths,                 417d54,                     20
                     0x40a08c,                   1383,                   1383,                      1,                      0,           fallbackSort,                 409c33,                      1
                     0x7fa429312736,                   1188,                   1166,                      1,                     42,                 getenv,           7fa4293126d0,                     22
                     0x7fa429312768,                   1188,                      1,                   1188,                      0,                 getenv,           7fa4293126d0,                     22
                     0x40c857,                   1147,                      1,                   1147,                      0,          BZ2_blockSort,                 40c679,                      1
                     0x405a00,                   1089,                      1,                   1089,                      0, copy_output_until_stop,                 4059f2,                      1
                     0x7fa429435f00,                   1011,                    916,                      1,                    151,               _dl_addr,           7fa429435e40,                      1
                     0x40d452,                    888,                    148,                      6,                      0,          sendMTFValues,                 40ceee,                      1
                     0x40ed01,                    888,                    148,                      6,                      0,          sendMTFValues,                 40ceee,                      1
                     0x7fa429435f28,                    659,                      1,                    659,                      0,               _dl_addr,           7fa429435e40,                      1
